symbol,fyers_symbol,industry,cmp,avg_volume,avg_turnover,data_days,range_low,range_high,range_width_pts,range_width_pct,support_touches,resistance_touches,containment_pct,range_valid,range_reject,range_position,in_bottom_zone,below_range,breakdown,strong_downtrend,grid_gap_pts,total_levels,grids_to_bottom,order_qty,order_value,gross_profit,rt_cost,net_profit,init_buy_qty,cash_reserve,grid_viable,grid_reject,final_status,final_reason
SAMMAANCAP,NSE:SAMMAANCAP-EQ,Financial Services,168.4,18699961,2784673286,60,136.03,162.03,26.0,19.11,5,2,93.3,True,,1.245,False,False,False,False,1.3,20,25,0,0,0,0,0,0,0,False,grids_to_bottom 25 > 5,NOT_IN_ZONE,pos=124.5%
360ONE,NSE:360ONE-EQ,Financial Services,1134.1,1075436,1126204357,60,931.42,1137.58,206.16,22.13,0,0,0,False,range too wide: 22.13% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 22.13% > 20.0%
ACMESOLAR,NSE:ACMESOLAR-EQ,Power,302.75,2036135,559544221,60,220.89,314.02,93.13,42.16,0,0,0,False,range too wide: 42.16% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 42.16% > 20.0%
APLAPOLLO,NSE:APLAPOLLO-EQ,Capital Goods,1876.0,702993,1403904590,60,1839.98,2234.12,394.13,21.42,0,0,0,False,range too wide: 21.42% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 21.42% > 20.0%
AUBANK,NSE:AUBANK-EQ,Financial Services,1010.8,2726277,2620167059,60,855.87,1059.24,203.37,23.76,0,0,0,False,range too wide: 23.76% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 23.76% > 20.0%
AWL,NSE:AWL-EQ,Fast Moving Consumer Goods,194.34,4440133,834900576,60,173.02,210.05,37.03,21.4,0,0,0,False,range too wide: 21.40% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 21.40% > 20.0%
AARTIIND,NSE:AARTIIND-EQ,Chemicals,491.0,1139298,519421392,60,399.28,510.17,110.89,27.77,0,0,0,False,range too wide: 27.77% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 27.77% > 20.0%
ACUTAAS,NSE:ACUTAAS-EQ,Healthcare,3031.2,531885,1311045978,60,2072.9,2965.18,892.28,43.05,0,0,0,False,range too wide: 43.05% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 43.05% > 20.0%
ADANIENSOL,NSE:ADANIENSOL-EQ,Power,1407.7,2973718,3656031531,60,935.69,1438.76,503.07,53.77,0,0,0,False,range too wide: 53.77% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 53.77% > 20.0%
ADANIENT,NSE:ADANIENT-EQ,Metals & Mining,2953.8,2525156,5736901719,60,1803.71,2775.93,972.21,53.9,0,0,0,False,range too wide: 53.90% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 53.90% > 20.0%
ADANIGREEN,NSE:ADANIGREEN-EQ,Power,1446.0,4570665,5067862249,60,814.53,1425.04,610.51,74.95,0,0,0,False,range too wide: 74.95% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 74.95% > 20.0%
ADANIPORTS,NSE:ADANIPORTS-EQ,Services,1808.9,3232022,5022220419,60,1329.27,1805.41,476.14,35.82,0,0,0,False,range too wide: 35.82% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 35.82% > 20.0%
ADANIPOWER,NSE:ADANIPOWER-EQ,Power,244.76,45113968,8632701871,60,137.38,234.02,96.64,70.35,0,0,0,False,range too wide: 70.35% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 70.35% > 20.0%
ATGL,NSE:ATGL-EQ,Oil Gas & Consumable Fuels,712.6,6494940,3831236325,60,476.89,667.55,190.66,39.98,0,0,0,False,range too wide: 39.98% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 39.98% > 20.0%
ABCAPITAL,NSE:ABCAPITAL-EQ,Financial Services,362.9,6746531,2293108476,60,295.05,366.48,71.43,24.21,0,0,0,False,range too wide: 24.21% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 24.21% > 20.0%
ABFRL,NSE:ABFRL-EQ,Consumer Services,65.0,5654982,351488481,60,55.32,69.12,13.8,24.94,0,0,0,False,range too wide: 24.94% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 24.94% > 20.0%
ABLBL,NSE:ABLBL-EQ,Consumer Services,102.0,2266987,235139415,60,90.1,110.95,20.84,23.13,0,0,0,False,range too wide: 23.13% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 23.13% > 20.0%
ABSLAMC,NSE:ABSLAMC-EQ,Financial Services,1002.0,569328,567502263,60,867.01,1088.95,221.94,25.6,0,0,0,False,range too wide: 25.60% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 25.60% > 20.0%
AEGISLOG,NSE:AEGISLOG-EQ,Oil Gas & Consumable Fuels,718.25,1099692,733390692,60,585.58,750.11,164.53,28.1,0,0,0,False,range too wide: 28.10% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 28.10% > 20.0%
AEGISVOPAK,NSE:AEGISVOPAK-EQ,Oil Gas & Consumable Fuels,208.38,959249,188203012,60,163.24,230.89,67.65,41.44,0,0,0,False,range too wide: 41.44% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 41.44% > 20.0%
AFCONS,NSE:AFCONS-EQ,Construction,317.65,1718143,561283123,60,271.43,356.5,85.08,31.35,0,0,0,False,range too wide: 31.35% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 31.35% > 20.0%
ARE&M,NSE:ARE&M-EQ,Automobile and Auto Components,889.7,1666733,1453026093,60,697.88,923.62,225.74,32.35,0,0,0,False,range too wide: 32.35% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 32.35% > 20.0%
AMBUJACEM,NSE:AMBUJACEM-EQ,Construction Materials,445.65,3406751,1501055922,60,406.33,512.24,105.9,26.06,0,0,0,False,range too wide: 26.06% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 26.06% > 20.0%
ANANTRAJ,NSE:ANANTRAJ-EQ,Realty,503.7,2448226,1200678030,60,427.15,559.76,132.61,31.05,0,0,0,False,range too wide: 31.05% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 31.05% > 20.0%
ANGELONE,NSE:ANGELONE-EQ,Financial Services,343.3,10555199,3000518722,60,212.27,343.42,131.14,61.78,0,0,0,False,range too wide: 61.78% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 61.78% > 20.0%
APOLLOTYRE,NSE:APOLLOTYRE-EQ,Automobile and Auto Components,394.2,1348255,554700948,60,370.38,458.82,88.44,23.88,0,0,0,False,range too wide: 23.88% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 23.88% > 20.0%
APTUS,NSE:APTUS-EQ,Financial Services,260.4,2431856,575559565,60,195.46,285.71,90.25,46.18,0,0,0,False,range too wide: 46.18% > 20.0%,,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,,RANGE_FAIL,range too wide: 46.18% > 20.0%
